,연극 이름,공연장,기간
214,옛 전통의 새로운 움직임-맹,예술공간 혜화,"2023.10.25~
2023.11.12"
215,오아시스세탁소 습격 사건 - 대전,대전 상상아트홀,"2023.10.03~
2023.10.29"
216,우리,연우소극장,"2023.11.09~
2023.11.19"
217,우주로봇레이,서강대학교 메리홀 소극장,"2023.10.06~
2023.10.15"
218,웃픈3일 - 울산,아트홀 마당,"2023.10.17~
2023.11.12"
219,웨딩브레이커 - 광주,상무지구 기분좋은극장,"2023.09.01~
2023.10.15"
220,유쾌한코미디연극 ♥ 행복총량의 법칙 - 대구,문화예술전용극장 CT,"2023.09.20~
2023.11.25"
221,은하백만년의전쟁사,대학로 시온아트홀,"2023.10.06~
2023.10.15"
222,이를 탐한 대가,대학로 민송아트홀 2관,"2023.11.07~
2023.11.09"
223,이상의 날개,대학로 민송아트홀 2관,"2023.11.11~
2023.11.12"
224,이자람 판소리 〈노인과 바다〉 - 경기 광주,남한산성아트홀 대극장,"2023.11.04~
2023.11.04"
225,이팡곰 물생미,나온씨어터,"2023.10.26~
2023.10.29"
226,장례식장편의점,안똔체홉극장,"2023.10.06~
2023.11.26"
227,"제 6회 극장동국연출가전 〈그 날, 기억〉",극장동국,"2023.10.04~
2023.10.15"
228,제 6회 극장동국연출가전 〈베키 샤〉,극장동국,"2023.10.18~
2023.10.29"
229,제3회 성북 몽당 10분 연극제 〈뉴전통과 문화〉,여행자 극장,"2023.10.27~
2023.10.29"
230,"제6회 1번출구 연극제 〈청산에 살어있다〉, 〈점프(JUMP)〉, 〈Oh Girl!〉",한성아트홀 2관,"2023.09.20~
2023.10.29"
231,제8회 단단페스티벌 : 겨울,소극장 혜화당,"2023.10.18~
2023.10.22"
232,제8회 단단페스티벌 : 바디바디 체인지!,소극장 혜화당,"2023.10.18~
2023.10.22"
233,제8회 단단페스티벌 : 부족한 사람들의 케미 폭발,소극장 혜화당,"2023.10.25~
2023.10.29"
234,제8회 단단페스티벌 : 옆집남자 윗집아빠,소극장 혜화당,"2023.11.01~
2023.11.05"
235,제8회 단단페스티벌 : 우리 방,소극장 혜화당,"2023.11.08~
2023.11.12"
236,제8회 단단페스티벌 : 인간문제,소극장 혜화당,"2023.11.08~
2023.11.12"
237,제8회 단단페스티벌 : 인생은 타이밍,소극장 혜화당,"2023.11.01~
2023.11.05"
238,"제8회 단단페스티벌 : 일곱 번째 딸, 바리데기",소극장 혜화당,"2023.10.11~
2023.10.15"
239,제8회 단단페스티벌 : 춤추는 하루,소극장 혜화당,"2023.10.25~
2023.10.29"
240,제8회 단단페스티벌：에덴고시원,소극장 혜화당,"2023.10.11~
2023.10.15"
241,"제8회 도담도담 페스티벌 - 〈나와 당신, 그리고 우리의 여행이야기 PART.2〉〈THE TALE OF THE B",우리소극장,"2023.11.08~
2023.11.26"
242,제8회 도담도담 페스티벌 - 〈당신〉〈X들의 번지점프〉〈문창리 사람들〉,우리소극장,"2023.10.18~
2023.11.05"
243,조난자들 - 안양,안양아트센터 수리홀,"2023.10.14~
2023.10.15"
244,조선의 눈동자,후암스테이지,"2023.11.01~
2023.11.05"
245,"조씨고아, 복수의 씨앗 - 고양",고양아람누리 아람극장,"2023.10.20~
2023.10.22"
246,"조씨고아, 복수의 씨앗 - 부산",부산시민회관 대극장,"2023.11.03~
2023.11.04"
247,"조씨고아, 복수의 씨앗 - 성남",성남아트센터 오페라하우스,"2023.10.28~
2023.10.29"
248,죽음과 소녀－부산,어댑터 플레이스,"2023.10.13~
2023.10.22"
249,준생,대학로 선돌극장,"2023.09.27~
2023.10.15"
250,진숙아 사랑한다,후암스테이지,"2023.10.18~
2023.10.22"
251,청춘포차 - 부산,가마골소극장,"2023.10.20~
2023.10.29"
252,춘천거기 for creative,아트원씨어터 3관,"2023.11.01~
2023.11.12"
253,친절한 고르스키씨,대학로 민송아트홀 2관,"2023.11.18~
2023.11.19"
254,칼치,대학로 시온아트홀,"2023.10.19~
2023.10.29"
255,코끼리 장마,나온씨어터,"2023.11.15~
2023.11.26"
256,코미디연극 〈보잉보잉〉 - 대구,송죽씨어터,"2023.10.12~
2023.11.18"
257,코미디연극 딜리버리 - 청주 어반아트홀,어반아트홀,"2023.12.21~
2023.12.25"
258,코믹연극 〈2시간 탈출 졸탄쇼〉 - 대전,대전 평송청소년문화센터 대극장,"2023.12.07~
2023.12.09"
259,크리미널 시즌5,대학로 봄날아트홀 2관,"2023.06.15~
2023.10.31"
260,클리테메스트라,뜻밖의극장,"2023.10.03~
2023.10.29"
261,킬리 앤 두,경험과 상상,"2023.10.07~
2023.10.15"
262,평점9.5 윤형빈소극장 19금개그쇼〈홍콩쇼〉,홍대 윤형빈소극장,"2021.04.09~
2023.10.27"
263,폐빈 봉씨,강동아트센터 소극장 드림,"2023.11.10~
2023.11.12"
264,포빅타운,후암스테이지,"2023.10.25~
2023.10.29"
265,"하나,둘,셋,김치! - 전주",한옥마을아트홀,"2023.10.13~
2023.12.25"
266,"한 사람, 무대 그리고 이야기 다섯.",플랫폼74,"2023.10.23~
2023.10.26"
267,항해자들 - 부산,일터 소극장,"2023.10.20~
2023.10.22"
268,"햄릿, 걷는 인간",이해랑예술극장,"2023.10.06~
2023.10.22"
269,헝키 - 부산,가온아트홀 1관,"2023.10.27~
2023.12.31"
270,헤다가블러,국립극장 달오름극장,"2023.10.19~
2023.10.22"
271,혜영에게 - 대구,소극장 길,"2023.09.01~
2023.11.26"
272,환장할진심,씨어터쿰,"2023.10.11~
2023.10.22"
273,흰 달과 소월과 숨굴막질,스카이씨어터,"2023.11.01~
2023.11.05"
274,Constellations,대학로 민송아트홀 2관,"2023.10.31~
2023.11.02"
275,Occident-Express_부산국제공연예술마켓,부산시민회관 소극장,"2023.10.13~
2023.10.13"
276,RULE,예술공간 혜화,"2023.11.25~
2023.11.26"
277,THE JUNGLE,연희예술극장,"2023.11.09~
2023.11.19"
278,The Thin Place,경험과 상상,"2023.10.07~
2023.10.15"
279,True Comedy,대학로 민송아트홀 2관,"2023.11.07~
2023.11.09"
280,Unrequited : 1st Actexhibition,space_____,"2023.10.18~
2023.10.20"
